노선,시종점,노선번호,기점,종점,노선아이디
6,상대원차고지-남한산성입구,6,상대원차고지,남한산성입구.양지파출소,204000004
33,사기막골-율동공원,33,사기막골,율동공원,204000020
50,차고지대기(경유)-복정역환승센터1번승강장,50,선경아파트,복정역환승센터1번승강장,204000012
51,사기막골-서울대병원,51,사기막골,서울대병원,204000021
55,기업성장센터-남한산성입구.양지파출소,55,(임시)금토동삼거리,남한산성입구.양지파출소,204000017
57,선경아파트-세곡동사거리,57,선경아파트,세곡동사거리,204000005
60,차고지대기(경유)-복정역환승센터1번승강장,60,차고지대기(경유),복정역환승센터1번승강장,204000013
100,사기막골-가락시장.가락시장역,100,사기막골,가락시장.가락시장역,204000018
101,오리역-잠실광역환승센터,101,오리역,수서역5번출구,228000179
103,도촌동9단지앞-사당역(중),103,도촌동9단지앞,사당역(중),204000060
200,도촌동행정복지센터-위례로제비앙,200,도촌동행정복지센터,거여역5번출구,204000029
220,영원무역-운중동먹거리촌,220,영원무역,한국학중앙연구원,204000022
231,기업성장센터-복정역환승센터1번승강장,231,(임시)금토동삼거리,복정역환승센터1번승강장,204000139
240,도촌동행정복지센터-남한산성입구,240,도촌동행정복지센터,남한산성입구,204000032
250,도촌동행정복지센터-궁내동.궁안마을,250,도촌동행정복지센터,궁내동.궁안마을,204000048
300,오리역-은대미,300,오리역,은대미,206000003
310,오리역-기업성장센터,310,오리역,(임시)금토동삼거리,204000163
315,기업성장센터-복정역환승센터1번승강장,315,(임시)금토동삼거리,복정역환승센터1번승강장,204000073
330,산성동-운중초등학교,330,산성동,운중초등학교,204000039
331,성남동대형주차장-고속철도수서역,331,성남동대형주차장,고속철도수서역,204000084
340,판교대장로동측-차고지,340,판교대장로동측,영원무역,204000040
341,운중동먹거리촌-청계산입구역,341,운중동먹거리촌,청계산입구역,204000067
342,영원무역-청계산옛골,342,영원무역,청계산옛골,204000159
350,상대원차고지-한국학중앙연구원,350,상대원차고지,한국학중앙연구원,204000044
357,상대원차고지-삼정아파트,357,상대원차고지,삼부아파트,204000007
370,고등마을아파트-더샵판교퍼스트파크,370,고등마을아파트,백현동종점,204000131
380,도촌5단지정문-판교대장초·중학교,380,동분당더퍼스트정문,판교대장초·중학교,204000079
382,성남동대형주차장-기업성장센터,382,성남동대형주차장,(임시)금토동삼거리,204000076
390,사송동.종점-초당역,390,사송동.종점,동백역.용인세브란스병원,204000051
810,그린빌리지-수진역.성호시장.성일중고입구,810,그린빌리지,수진역.성호시장.성일중고입구,204000174
811,도촌9단지후문-수진역.성호시장.성일중고입구,811,도촌9단지후문,수진역.성호시장.성일중고입구,204000173
Jan-33,산성동-청구아파트,Jan-33,산성동,청구아파트,204000019
03월 01일,광주차고지-사기막골,03월 01일,광주차고지,사기막골,205000003
100출,산성역.포레스티아동문-남위례역.창곡교차로,100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083
720-1A,오리역-남한산성입구.양지파출소,720-1A,오리역,남한산성입구.양지파출소,204000151
누리1,성남시영생관리사업소-쇳골마을.궁내동톨게이트,누리1,성남시장례문화사업소,쇳골마을.궁내동톨게이트,204000145
누리2,사송동종점-국군수도병원,누리2,사송동종점,국군수도병원,204000146
누리3,차고지출발(경유)-럭키타운,누리3,뫼루니육교,럭키타운,204000147
누리4,사송동.종점-동원동,누리4,사송동.종점,동원동,204000155
